Model,Fuel Type,Mileage,Owner,Location,Price
Ford Figo (2012),DIESEL,"81,000 KM",2nd,"Singanwala, Ambala","₹ 1,90,000"
Hyundai Grand I10 (2010),PETROL,"76,000 KM",3rd,"Thed Mohlla, Sirsa","₹ 1,60,000"
Ford Ikon (2010),DIESEL,"98,000 KM",3rd,"Rajivpuram, Karnal","₹ 1,50,000"
Maruti Suzuki Alto K10 (2011),PETROL,"75,500 KM",1st,"Bata Colony, Sirsa","₹ 2,01,000"
Mahindra Thar (2017),DIESEL,13500.0 KM,1st,"MG Road, Gurgaon","₹ 8,75,000"
Toyota Innova (2016),DIESEL,35000.0 KM,1st,"New Gurgaon, Gurgaon","₹ 15,50,000"
Chevrolet Optra Magnum (2011),DIESEL,"63,348 KM",1st,"Sector 14, Hisar","₹ 2,22,000"
Maruti Suzuki Swift Dzire (2015),DIESEL,"89,000 KM",2nd,"Mata Chowk, Loharu","₹ 4,50,000"
Hyundai Grand I10 (2016),PETROL,"90,000 KM",2nd,"Ramsinghpur, Bawal","₹ 3,00,000"
Hyundai Accent (2011),CNG & HYBRIDS,"84,000 KM",2nd,"Garhi Harsaru, Gurgaon","₹ 1,70,000"
Maruti Suzuki 800 (2000),PETROL,23 KM,2nd,"Dera Rampura, Kurukshetra","₹ 60,000"
Hyundai Grand I 10 (2009),CNG & HYBRIDS,"80,000 KM",3rd,"Shiv Colony, Nissing","₹ 1,15,000"
Maruti Suzuki Alto (2011),PETROL,"96,000 KM",3rd,"Amar Puri, Yamunanagar","₹ 1,60,000"
Maruti Suzuki Alto (2010),PETROL,"62,500 KM",2nd,"SSP Colony, Sonipat","₹ 1,25,000"
Maruti Suzuki Alto 800 (2009),PETROL,"89,116 KM",1st,"Sector 3, Rohtak","₹ 90,000"
Hyundai Verna (2014),DIESEL,"130,000 KM",2nd,"Vikash Nagar, Karnal","₹ 3,50,000"
Hyundai I20 (2009),PETROL,"80,000 KM",2nd,"Luxmi Garden, Yamunanagar","₹ 2,10,000"
Hyundai Verna (2011),CNG & HYBRIDS,"86,000 KM",4th,"Bayanpur, Sonipat","₹ 2,50,000"
Maruti Suzuki Wagon R 1.0 (2011),PETROL,"113,000 KM",2nd,"Barota, Gohana","₹ 2,00,000"
Hyundai Verna (2014),PETROL,"34,000 KM",1st,"Sector 102, Gurgaon","₹ 5,25,000"
Toyota Etios Liva (2012),DIESEL,"93,000 KM",2nd,"Kumaharo Wala Mohalla, Bahadurgarh","₹ 2,50,000"
Skoda Rapid (2012),DIESEL,"81,000 KM",1st,"Sector 3, Rewari","₹ 2,10,000"
Maruti Suzuki Swift (2014),DIESEL,"72,000 KM",1st,"Dadri, Charkhi Dadri","₹ 3,60,000"
Hyundai Grand I10 (2015),PETROL,52806.0 KM,1st,"Golf Course Extn Road, Gurgaon","₹ 4,44,200"
Maruti Suzuki Alto K10 (2012),PETROL,75000.0 KM,2nd,"Model Town, Ambala","₹ 2,10,000"
Maruti Suzuki Vitara Brezza (2017),DIESEL,67666.0 KM,1st,"Sohna Road, Gurgaon","₹ 7,65,900"
Toyota Etios (2015),PETROL,"89,000 KM",2nd,"Chandpur Village, Rewari","₹ 3,50,000"
Tata Safari (2011),DIESEL,"132,777 KM",3rd,"Jawa Mohalla, Barwala","₹ 1,80,000"
Mahindra Scorpio (2012),DIESEL,"78,937 KM",2nd,"Auto Market, Hisar","₹ 4,10,000"
Mahindra Bolero Pik-Up (2017),CNG & HYBRIDS,15 KM,1st,"Jasawas 81, Mahendragarh","₹ 5,50,000"
Honda City Zx (2007),PETROL,"105,351 KM",2nd,"Dayalpura Colony, Karnal","₹ 1,30,000"
Renault Duster (2013),DIESEL,"90,000 KM",2nd,"Jundla Gate, Karnal","₹ 2,90,000"
Hyundai Eon (2017),--,37000.0 KM,--,"Sector 12, Karnal","₹ 2,85,000"
Maruti Suzuki Eeco (2010),PETROL,"160,000 KM",3rd,"Tagra Kali Ram, Kalka","₹ 1,50,000"
Maruti Suzuki Sx4 (2011),DIESEL,0 KM,2nd,"Shah Satnamji Nagar, Sirsa","₹ 2,50,000"
Mahindra Xuv500 (2013),DIESEL,"88,500 KM",2nd,"Sector 10A, Gurgaon","₹ 5,00,000"
Tata Bolt (2015),DIESEL,"49,000 KM",2nd,"Hira Nagar, Yamunanagar","₹ 2,43,000"
Maruti Suzuki Swift (2019),PETROL,30000.0 KM,1st,"Sector 15A, Faridabad","₹ 5,20,000"
Bmw 3 Series (2010),DIESEL,"123,000 KM",2nd,"DLF City Phase 3, Gurgaon","₹ 6,72,000"
Mahindra Bolero (2014),DIESEL,68000.0 KM,1st,"Sector 37, Gurgaon","₹ 4,50,000"
Chevrolet Beat (2017),DIESEL,54000.0 KM,1st,"Sector 9, Faridabad","₹ 2,65,000"
Toyota Fortuner (2014),DIESEL,"38,558 KM",2nd,"Sector 110A, Gurgaon","₹ 17,00,000"
Renault Duster (2014),DIESEL,69856.0 KM,1st,"Model Town, Ambala","₹ 3,85,000"
Maruti Suzuki Swift Dzire (2008),--,69856.0 KM,--,"Model Town, Ambala","₹ 1,55,000"
Hyundai Santro Xing (2009),PETROL,"73,000 KM",4th,"Babra Mohalla, Rohtak","₹ 1,30,000"
Honda Amaze (2021),CNG & HYBRIDS,"4,584 KM",1st,"Abadi Sankhol, Bahadurgarh","₹ 30,000"
Maruti Suzuki Esteem (2007),PETROL,"115,000 KM",1st,"MDC Sector 5, Panchkula","₹ 1,35,000"
Honda City (2018),PETROL,39000.0 KM,1st,"Sector 37, Gurgaon","₹ 8,25,000"
Hyundai I10 (2010),PETROL,48000.0 KM,1st,"Anamika Enclave, Gurgaon","₹ 2,52,000"
Fiat Linea (2012),DIESEL,"105,000 KM",1st,"Ahamadpur, Sirsa","₹ 1,59,000"
Hyundai I10 (2011),CNG & HYBRIDS,59000.0 KM,1st,"Sector 15A, Faridabad","₹ 1,99,000"
Maruti Suzuki Wagon R (2015),PETROL,88000.0 KM,1st,"Sector 37, Gurgaon","₹ 2,99,000"
Mahindra Scorpio (2013),DIESEL,"80,000 KM",1st,"Dav Colony, Cheeka","₹ 4,30,000"
Volkswagen Vento (2011),DIESEL,"115,000 KM",1st,"Rehawar, Industrial Estate Barwala","₹ 3,00,000"
Hyundai Santro Xing (2009),PETROL,"60,500 KM",2nd,"Guhla Village, Cheeka","₹ 1,55,000"
Honda Brio (2013),DIESEL,800000.0 KM,1st,"Ambala Cantt, Ambala","₹ 3,25,000"
Tata Safari (2010),DIESEL,"100,000 KM",1st,"Beena Nagar Camp, Yamunanagar","₹ 2,00,000"
Land Rover Range Rover Evoque (2018),PETROL,11000.0 KM,1st,"DLF City, Gurgaon","₹ 47,25,000"
Maruti Suzuki Wagon R (2016),CNG,200000 KM,First,"Sohna, Gurgaon","₹ 2,60,000"
Honda Jazz (2018),PETROL,62600.0 KM,--,"Sector 37, Gurgaon","₹ 6,56,000"
Hyundai Eon (2015),PETROL,72640.0 KM,2nd,"Ambala Cantt, Ambala","₹ 2,50,000"
Maruti Suzuki Alto (2012),PETROL,63213.0 KM,--,"DLF City, Gurgaon","₹ 2,40,000"
Maruti Suzuki Celerio (2020),CNG,70000 KM,First,"Saraswati Enclave, Gurgaon","₹ 1,60,000"
Toyota Etios (2013),PETROL,60000.0 KM,2nd,"Kanahi, Gurgaon","₹ 2,75,000"
Volkswagen Polo (2012),PETROL,68000.0 KM,1st,"DLF City Phase 3, Gurgaon","₹ 2,80,000"
Volkswagen Polo (2012),DIESEL,87000.0 KM,3rd,"Sector 12, Gurgaon","₹ 2,25,000"
Hyundai I10 (2012),PETROL,88000.0 KM,2nd,"Feroz Gandhi Colony Phase 2, Gurgaon","₹ 2,25,000"
Maruti Suzuki Swift Dzire (2010),CNG & HYBRIDS,"86,274 KM",3rd,"Nangal Kalan 43, Kundli","₹ 2,45,000"
Hyundai Santro Xing (2012),CNG & HYBRIDS,"94,000 KM",2nd,"Johri Nagar, Bahadurgarh","₹ 2,10,000"
Maruti Suzuki Baleno (2017),PETROL,22000.0 KM,1st,"Sector 15A, Faridabad","₹ 5,99,000"
Hyundai I10 (2009),PETROL,"97,800 KM",2nd,"Para, Rohtak","₹ 1,57,000"
Honda City (2012),PETROL,76000.0 KM,1st,"Kanhai, Gurgaon","₹ 3,45,000"
Volkswagen Polo (2016),DIESEL,"73,000 KM",1st,"Mohmmadpur Jharsa, Gurgaon","₹ 4,00,000"
Hyundai I20 (2013),DIESEL,"110,000 KM",1st,"Sector 16&17, Hisar","₹ 3,50,000"
Volkswagen Vento (2015),DIESEL,40000.0 KM,1st,"Kanhai, Gurgaon","₹ 5,10,000"
Maruti Suzuki Swift (2014),CNG & HYBRIDS,58000.0 KM,1st,"Sector 37, Gurgaon","₹ 4,35,000"
Mahindra Xuv500 (2012),DIESEL,72000.0 KM,1st,"Sector 37, Gurgaon","₹ 4,75,000"
Audi Q8 (2021),PETROL,1900.0 KM,1st,"Sector 29, Gurgaon","₹ 93,00,000"
Maruti Suzuki Swift (2009),DIESEL,154648.0 KM,2nd,"Ambala Cantt, Ambala","₹ 1,80,000"
Audi Q5 (2014),DIESEL,55656.0 KM,2nd,"MG Road, Gurgaon","₹ 17,90,000"
Hyundai Verna (2018),DIESEL,"68,056 KM",2nd,"Sector 6, Karnal","₹ 9,50,000"
Maruti Suzuki Ciaz (2018),PETROL,55000.0 KM,1st,"IFFCO Chowk, Gurgaon","₹ 5,90,000"
Skoda Superb (2012),DIESEL,"105,000 KM",2nd,"Haryana Police Complex Madhuban, Uncha Siwana","₹ 4,89,000"
Audi A4 (2013),DIESEL,30000.0 KM,1st,"Sector 54, Gurgaon","₹ 13,26,000"
Maruti Suzuki Eeco (2016),PETROL,115637.0 KM,--,"South City, Rewari","₹ 2,45,000"
Renault Kwid (2016),PETROL,49000.0 KM,1st,"New Gurgaon, Gurgaon","₹ 2,25,000"
Audi Others (2014),CNG & HYBRIDS,"30,000 KM",1st,"Krishna Colony, Gurgaon","₹ 3,00,000"
Maruti Suzuki Wagon R (2015),CNG & HYBRIDS,"68,000 KM",1st,"Anup Nagar, Ganaur","₹ 3,00,000"
Maruti Suzuki Swift (2014),DIESEL,"100,000 KM",2nd,"Sector 40, Gurgaon","₹ 3,20,000"
Maruti Suzuki Ritz (2013),PETROL,37485.0 KM,2nd,"Ambala Cantt, Ambala","₹ 2,90,000"
Mahindra Thar (2017),DIESEL,80000.0 KM,2nd,"Sector 37, Gurgaon","₹ 6,95,000"
Maruti Suzuki Wagon R (2016),PETROL,"90,000 KM",1st,"Sector 4 Gurgaon, Gurgaon","₹ 2,50,000"
Mahindra Scorpio (2021),DIESEL,12500.0 KM,1st,"Cyber City, Gurgaon","₹ 17,76,000"
Kia Seltos (2020),PETROL,8700.0 KM,1st,"New Gurgaon, Gurgaon","₹ 14,25,000"
Mahindra Bolero (2017),DIESEL,40000.0 KM,1st,"Cyber City, Gurgaon","₹ 6,51,000"
Mahindra Tuv 300 (2016),DIESEL,45000.0 KM,2nd,"Ardee City, Gurgaon","₹ 4,99,000"
Maruti Suzuki Vitara Brezza (2018),DIESEL,36000.0 KM,1st,"Sushant Lok Phase 1, Gurgaon","₹ 6,25,000"
Maruti Suzuki Vitara Brezza (2017),DIESEL,67775.0 KM,--,"Sector 37, Gurgaon","₹ 6,15,000"
Bmw X1 (2017),DIESEL,44170.0 KM,2nd,"Sector 37, Gurgaon","₹ 19,75,000"
Honda City (2013),PETROL,62000.0 KM,2nd,"Sector 16, Faridabad","₹ 4,50,000"
Honda City (2010),PETROL,"128,000 KM",1st,"Model Town, Ambala","₹ 3,79,000"
Mahindra Scorpio (2018),DIESEL,80000.0 KM,1st,"Sector 81, Faridabad","₹ 13,45,000"
Toyota Fortuner (2013),DIESEL,115000.0 KM,2nd,"Anamika Enclave, Gurgaon","₹ 12,85,000"
Honda City (2016),PETROL,36000.0 KM,1st,"New Gurgaon, Gurgaon","₹ 7,20,000"
Bmw X5 (2014),DIESEL,50000.0 KM,1st,"DLF City, Gurgaon","₹ 29,50,000"
Hyundai Elite I20 (2017),DIESEL,47000.0 KM,2nd,"Sector 17, Yamunanagar","₹ 6,50,000"
Honda City Zx (2007),PETROL,65000.0 KM,1st,"Sector 15, Panchkula","₹ 1,75,000"
Hyundai I10 (2009),PETROL,41000.0 KM,1st,"DLF City, Gurgaon","₹ 1,85,000"
Bmw X5 (2015),DIESEL,82000.0 KM,2nd,"Sushant Lok Phase 1, Gurgaon","₹ 29,90,000"
Bmw 5 Series (2013),DIESEL,72000.0 KM,1st,"DLF City, Gurgaon","₹ 14,75,000"
Hyundai Eon (2014),PETROL,39000.0 KM,1st,"Golf Course Road, Gurgaon","₹ 2,60,000"
Honda Brio (2013),PETROL,80000.0 KM,1st,"Patiala Bank Colony, Kurukshetra","₹ 3,25,000"
Maruti Suzuki Wagon R 1.0 (2012),CNG & HYBRIDS,"72,000 KM",3rd,"Dev Nagar, Sonipat","₹ 2,20,000"
Maruti Suzuki Eeco (2017),CNG & HYBRIDS,5000.0 KM,1st,"Badauli Village, Faridabad","₹ 4,50,000"
Maruti Suzuki Swift (2017),PETROL,43000.0 KM,1st,"Sector 37, Gurgaon","₹ 4,65,000"
Maruti Suzuki S Cross (2015),DIESEL,86000.0 KM,2nd,"Sector 13, Gurgaon","₹ 4,75,000"
Fiat Punto (2012),DIESEL,79856.0 KM,--,"Baldevnagar, Ambala","₹ 1,49,000"
Maruti Suzuki Omni (2017),PETROL,5193.0 KM,--,"Sector 37, Gurgaon","₹ 2,35,000"
Maruti Suzuki Vitara Brezza (2016),DIESEL,90344.0 KM,--,"Sector 37, Gurgaon","₹ 5,99,000"
Renault Kwid (2016),PETROL,42000.0 KM,1st,"IFFCO Chowk, Gurgaon","₹ 2,60,000"
Hyundai Grand I10 (2015),DIESEL,"54,000 KM",1st,"Rajiv Nagar, Gurgaon","₹ 3,30,000"
Maruti Suzuki Wagon R (2016),PETROL,78000.0 KM,1st,"Sector 37, Gurgaon","₹ 3,49,000"
Skoda Fabia (2013),DIESEL,"255,000 KM",2nd,"Pahlwan, Uchana","₹ 2,40,000"
Ford Figo (2010),PETROL,"95,000 KM",2nd,"Haibatpur, Jind","₹ 1,35,000"
Mahindra Marazzo (2017),DIESEL,"60,000 KM",1st,"MDC Sector 7, Panchkula","₹ 7,70,000"
Chevrolet Beat (2014),DIESEL,70000.0 KM,1st,"Sector 14, Gurgaon","₹ 1,90,000"
Toyota Fortuner (2013),DIESEL,98000.0 KM,1st,"Sector 14, Gurgaon","₹ 13,90,000"
Toyota Innova (2014),DIESEL,75000.0 KM,2nd,"Sector 37, Gurgaon","₹ 6,75,000"
Ford Ecosport (2013),DIESEL,80000.0 KM,1st,"Sector 37, Faridabad","₹ 4,15,000"
Hyundai I10 (2013),PETROL,74500.0 KM,1st,"Sushant Lok Phase 2, Gurgaon","₹ 2,80,000"
Maruti Suzuki Swift Dzire (2018),CNG & HYBRIDS,45000.0 KM,1st,"Sector 37, Gurgaon","₹ 4,50,000"
Audi Q3 (2015),DIESEL,36000.0 KM,1st,"Ansal Plaza, Gurgaon","₹ 18,50,000"
Hyundai Elite I20 (2018),PETROL,61865.0 KM,1st,"MG Road, Gurgaon","₹ 6,33,800"
Fiat Punto Pure (2012),DIESEL,79854.0 KM,--,"Model Town, Ambala","₹ 1,69,000"
Toyota Innova (2012),DIESEL,"155,000 KM",2nd,"Arjun Nagar, Kaithal","₹ 4,85,000"
Mahindra Xuv300 (2020),PETROL,24000.0 KM,1st,"Sector 37, Gurgaon","₹ 10,50,000"
Honda City (2009),PETROL,32555.0 KM,1st,"IFFCO Chowk, Gurgaon","₹ 2,75,000"
Datsun Go (2014),PETROL,"53,000 KM",2nd,"Dev Nagar, Palwal","₹ 1,20,000"
Honda Wr-V (2018),PETROL,53000.0 KM,1st,"IFFCO Chowk, Gurgaon","₹ 7,10,000"
Maruti Suzuki Alto K10 (2014),PETROL,"73,000 KM",2nd,"Bhodia Khera, Fatehabad","₹ 2,45,000"
Mahindra Xuv500 (2015),DIESEL,"800,000 KM",3rd,"Kail Gaon Village, Faridabad","₹ 8,00,000"
Hyundai I10 (2013),PETROL,74500.0 KM,1st,"Sushant Lok Phase 1, Gurgaon","₹ 2,80,000"
Tata Nexon (2018),DIESEL,"46,000 KM",1st,"Shastri Nagar, Rohtak","₹ 7,40,000"
Nissan Micra (2013),PETROL,"39,600 KM",1st,"Prem Nagar, Ellenabad","₹ 2,70,000"
Fiat Punto (2014),DIESEL,"150,000 KM",1st,"Himshikha, Pinjore","₹ 2,85,000"
Mahindra Thar (2021),DIESEL,3000.0 KM,1st,"Sushant Lok, Gurgaon","₹ 16,90,000"
Maruti Suzuki Ritz (2016),CNG & HYBRIDS,"95,000 KM",2nd,"Salaheri, Nuh","₹ 2,80,000"
Mahindra Scorpio (2015),DIESEL,"105,000 KM",1st,"Jawahar Nagar, Hisar","₹ 7,99,999"
Toyota Corolla Altis (2015),PETROL,"80,500 KM",2nd,"Sector 85, Faridabad","₹ 7,60,000"
Tata Others (2019),DIESEL,36000.0 KM,1st,"Old Town, Ambala","₹ 4,10,000"
Maruti Suzuki Swift (2014),DIESEL,32500.0 KM,1st,"Sector 37, Gurgaon","₹ 4,15,000"
Maruti Suzuki Swift Dzire (2015),DIESEL,60536.0 KM,2nd,"Sector 47, Gurgaon","₹ 4,71,500"
Audi A6 (2012),DIESEL,65000.0 KM,2nd,"New Gurgaon, Gurgaon","₹ 10,75,000"
Maruti Suzuki Alto (2021),PETROL,1.0 KM,--,"Sector 20, Gurgaon","₹ 3,28,631"
Honda Amaze (2017),CNG & HYBRIDS,"99,000 KM",1st,"Hasanpur Village, Gurgaon","₹ 2,25,000"
Audi Q5 (2013),DIESEL,80000.0 KM,2nd,"Sector 37, Faridabad","₹ 14,25,000"
Volkswagen Vento (2011),PETROL,89000.0 KM,1st,"IFFCO Chowk, Gurgaon","₹ 3,72,000"
Bmw X1 (2015),DIESEL,40000.0 KM,1st,"Surat Nagar, Gurgaon","₹ 16,50,000"
Maruti Suzuki Ertiga (2012),PETROL,68000.0 KM,1st,"Sector 37, Gurgaon","₹ 3,95,000"
Hyundai I10 (2009),PETROL,"52,000 KM",2nd,"Safidon Mandi, Safidon","₹ 1,60,000"
Honda Civic (2009),PETROL,62000.0 KM,2nd,"Sector 37, Gurgaon","₹ 1,85,000"
Honda City (2015),DIESEL,60000.0 KM,1st,"Gurgaon-Faridabad Road, Faridabad","₹ 5,99,000"
Mahindra Scorpio (2018),DIESEL,"60,000 KM",1st,"TDI City Sonipat, Sonipat","₹ 5,50,000"
Skoda Fabia (2012),DIESEL,"170,000 KM",1st,"Model Town, Adampur","₹ 2,30,000"
Ford Figo (2013),DIESEL,"98,000 KM",2nd,"Model Town, Fatehabad","₹ 2,00,000"
Maruti Suzuki Swift (2012),PETROL,"56,000 KM",2nd,"Jhagroli, Mahendragarh","₹ 3,25,000"
Honda City (2014),DIESEL,66000.0 KM,1st,"Sector 37, Gurgaon","₹ 4,75,000"
Maruti Suzuki Swift (2016),DIESEL,"84,000 KM",2nd,"Sector 8, Karnal","₹ 5,50,000"
Hyundai Xcent (2016),CNG & HYBRIDS,125606.0 KM,--,"South City, Rewari","₹ 3,37,000"
Hyundai Eon (2013),CNG & HYBRIDS,47000.0 KM,1st,"Mathura Road, Faridabad","₹ 2,00,000"
Mahindra Xuv500 (2015),DIESEL,53000.0 KM,1st,"Sector 16, Faridabad","₹ 7,48,000"
Hyundai I10 (2010),PETROL,"89,700 KM",1st,"Goyal Colony, Dharuhera","₹ 1,75,000"
Maruti Suzuki Eeco (2018),CNG & HYBRIDS,46000.0 KM,1st,"Sector 37, Faridabad","₹ 4,10,000"
Maruti Suzuki Wagon R (2008),PETROL,"140,000 KM",1st,"Jind Chowk, Assandh","₹ 1,10,000"
Maruti Suzuki Alto (2007),PETROL,"120,000 KM",4+,"Tosham Main Chowk, Tosham","₹ 80,000"
Ford Figo Aspire (2018),DIESEL,"45,000 KM",1st,"Gandhi Colony, Faridabad","₹ 5,50,000"
Renault Kwid (2021),PETROL,"5,600 KM",1st,"Jawahar Nagar, Rohtak","₹ 4,20,000"
Hyundai Santro (2011),CNG & HYBRIDS,"93,000 KM",3rd,"Beri Khas 128, Beri","₹ 1,65,000"
Nissan Sunny (2012),DIESEL,"79,500 KM",1st,"New Colony, Ambala","₹ 1,90,000"
Maruti Suzuki Vitara Brezza (2017),DIESEL,55000.0 KM,1st,"Sector 37, Gurgaon","₹ 6,75,000"
Mahindra Thar (2018),DIESEL,46000.0 KM,1st,"Sector 37, Gurgaon","₹ 8,25,000"
Maruti Suzuki Alto K10 (2015),PETROL,"80,000 KM",3rd,"Bir Hansi, Hansi","₹ 2,70,000"
Maruti Suzuki Eeco (2012),CNG & HYBRIDS,"95,000 KM",2nd,"Fazal Pur, Palwal","₹ 2,00,000"
Maruti Suzuki Others (2007),CNG & HYBRIDS,"20,000 KM",1st,"Garhi Sarai Namdar Khan 38, Gohana","₹ 60,000"
Honda Amaze (2016),CNG & HYBRIDS,"70,000 KM",1st,"Todi Kheri, Safidon","₹ 3,40,000"
Maruti Suzuki Eeco (2011),CNG & HYBRIDS,"170,000 KM",4+,"Kherla Village, Nuh","₹ 1,75,000"
Maruti Suzuki Alto 800 (2015),CNG & HYBRIDS,69000.0 KM,2nd,"Sector 37, Gurgaon","₹ 2,49,000"
Honda Mobilio (2015),DIESEL,89368.0 KM,--,"South City, Rewari","₹ 4,60,000"
Hyundai Eon (2011),PETROL,27541.0 KM,1st,"Model Town, Ambala","₹ 2,19,000"
Honda City Zx (2008),CNG & HYBRIDS,"75,200 KM",2nd,"Durga Colony, Sonipat","₹ 90,000"
Hyundai I20 (2014),DIESEL,77000.0 KM,1st,"Sector 12, Karnal","₹ 3,85,000"
Hyundai Tucson (2005),DIESEL,"190,000 KM",1st,"Uklana, Uklanamandi","₹ 3,00,000"
Maruti Suzuki Wagon R (2005),PETROL,"85,000 KM",3rd,"Jawa Mohalla, Barwala","₹ 70,000"
Honda Amaze (2013),DIESEL,"75,800 KM",2nd,"Sector 10 Gurgaon, Gurgaon","₹ 2,45,000"
Maruti Suzuki Estilo (2009),PETROL,"68,000 KM",3rd,"Meena Bazaar, Mandi Dabwali","₹ 1,40,000"
Porsche Cayenne (2020),PETROL,20000.0 KM,1st,"Sushant Lok, Gurgaon","₹ 1,78,00,000"
Hyundai Grand I10 (2017),PETROL,12000.0 KM,1st,"Sector 15A, Faridabad","₹ 4,80,000"
Maruti Suzuki Alto K10 (2017),PETROL,82000.0 KM,1st,"Gurgaon-Faridabad Road, Faridabad","₹ 2,99,000"
Maruti Suzuki Eeco (2018),CNG & HYBRIDS,"45,000 KM",2nd,"Sector 15, Sankhol","₹ 3,00,000"
Bmw X5 (2018),DIESEL,31000.0 KM,1st,"Sushant Lok, Gurgaon","₹ 52,00,000"
Chevrolet Beat (2012),DIESEL,105368.0 KM,1st,"Sector 21, Kaithal","₹ 1,50,000"
Honda Amaze (2013),DIESEL,"95,000 KM",1st,"Sector 2, Bahadurgarh","₹ 2,80,000"
Maruti Suzuki Wagon R 1.0 (2015),PETROL,"23,485 KM",1st,"Sector 20, Panchkula","₹ 3,85,000"
Mahindra Scorpio (2012),DIESEL,134000.0 KM,2nd,"Sector 56, Gurgaon","₹ 3,85,000"
Hyundai Elite I20 (2019),PETROL,"31,800 KM",1st,"BST Colony, Ganaur","₹ 5,50,000"
Audi Q5 (2015),DIESEL,34000.0 KM,1st,"Golf Course Road, Gurgaon","₹ 22,55,000"
Audi A4 (2011),PETROL,56000.0 KM,3rd,"Sector 29, Gurgaon","₹ 7,95,000"
Chevrolet Beat (2012),DIESEL,69859.0 KM,--,"Model Town, Ambala","₹ 1,55,000"
Fiat Grand Punto (2012),DIESEL,69856.0 KM,--,"Model Town, Ambala","₹ 1,55,000"
Honda City (2011),PETROL,76000.0 KM,2nd,"Kanahi, Gurgaon","₹ 3,45,000"
Maruti Suzuki Alto K10 (2018),PETROL,38255.0 KM,1st,"Golf Course Road, Gurgaon","₹ 2,99,000"
Audi A6 (2012),DIESEL,90000.0 KM,1st,"Sector 16, Faridabad","₹ 9,95,000"
Maruti Suzuki Eeco (2016),PETROL,115637.0 KM,--,"Sector 37, Gurgaon","₹ 2,45,000"
Chevrolet Sail U-Va (2012),DIESEL,"82,000 KM",1st,"Jahaj Pur, Hisar","₹ 1,70,000"
Renault Kwid (2017),PETROL,32000.0 KM,1st,"Sector 13, Faridabad","₹ 3,25,000"
Hyundai I10 (2013),PETROL,77000.0 KM,1st,"Sector 37, Gurgaon","₹ 2,25,000"
Chevrolet Beat (2014),DIESEL,76000.0 KM,1st,"Sector 37, Gurgaon","₹ 1,90,000"
Kia Seltos (2019),PETROL,26000.0 KM,1st,"Sector 37, Gurgaon","₹ 16,50,000"
Hyundai I20 (2013),DIESEL,88000.0 KM,1st,"Sector 13, Gurgaon","₹ 2,70,000"
Chevrolet Beat (2012),DIESEL,"69,500 KM",2nd,"Krishna Colony, Bhiwani","₹ 1,35,000"
Tata Indica (2009),DIESEL,"114,000 KM",3rd,"Dadri, Charkhi Dadri","₹ 90,000"
Volkswagen Polo (2015),PETROL,"56,000 KM",2nd,"HUDA Colony Sec 20, Sirsa","₹ 3,20,000"
Kia Seltos (2019),PETROL,30000.0 KM,1st,"Sector 37, Gurgaon","₹ 14,50,000"
Honda City (2019),DIESEL,21000.0 KM,1st,"New Gurgaon, Gurgaon","₹ 9,15,000"
Maruti Suzuki Ciaz (2016),DIESEL,80203.0 KM,--,"Rajiv Chowk, Gurgaon","₹ 5,50,000"
Hyundai Eon (2018),PETROL,44787.0 KM,1st,"Ambala Cantt, Ambala","₹ 3,25,000"
Honda Brio (2017),PETROL,10000.0 KM,1st,"Cyber City, Gurgaon","₹ 4,71,000"
Maruti Suzuki 800 (2008),PETROL,87000.0 KM,1st,"Cyber City, Gurgaon","₹ 90,000"
Maruti Suzuki Swift Dzire (2017),DIESEL,82000.0 KM,1st,"Anamika Enclave, Gurgaon","₹ 6,25,000"
Mahindra Bolero (2012),DIESEL,"127,000 KM",1st,"Govind Nagar, Pehowa","₹ 3,00,000"
Hyundai I10 (2010),PETROL,70000.0 KM,1st,"Sector 16, Faridabad","₹ 1,85,000"
Maruti Suzuki Alto K10 (2019),PETROL,28000.0 KM,1st,"Anamika Enclave, Gurgaon","₹ 3,92,000"
Toyota Camry (2014),PETROL,120000.0 KM,2nd,"Sector 37, Gurgaon","₹ 9,25,000"
Maruti Suzuki Swift (2012),CNG & HYBRIDS,68000.0 KM,1st,"Sector 37, Gurgaon","₹ 2,99,000"
Maruti Suzuki Alto 800 (2013),PETROL,"85,600 KM",1st,"HAU Quarter, Hisar","₹ 2,05,000"
Maruti Suzuki 800 (2007),PETROL,"75,320 KM",2nd,"District Jail Karnal, Karnal","₹ 55,000"
Maruti Suzuki Swift Dzire (2014),DIESEL,"70,000 KM",1st,"Suncity Township 1, Rohtak","₹ 3,20,000"
Maruti Suzuki Alto 800 (2021),CNG & HYBRIDS,"15,000 KM",1st,"Joniawas Village, Dharuhera","₹ 4,25,000"
Maruti Suzuki Vitara Brezza (2019),DIESEL,"69,600 KM",2nd,"Jind Rural, Jind","₹ 7,20,000"
Ford Figo (2010),PETROL,60000.0 KM,1st,"IFFCO Chowk, Gurgaon","₹ 1,60,000"
Maruti Suzuki Ritz (2014),DIESEL,70000.0 KM,1st,"Islampur, Gurgaon","₹ 2,90,000"
Maruti Suzuki Alto (2007),CNG & HYBRIDS,"135,000 KM",4th,"Jind Rural, Jind","₹ 75,000"
Maruti Suzuki Eeco (2018),CNG & HYBRIDS,45000.0 KM,1st,"Anamika Enclave, Gurgaon","₹ 4,10,000"
